Train Number ,Time ,Station,Weekly,WeekDay,Day_reach_station,DIR
16128,01:20,ERS,y,All,2,ERS-SRT
16603,01:55,ERS,y,All,2,ERS-SRT
16331,02:35,ERS,n,Tu,3,ERS-SRT
16315,04:05,ERS,y,All,2,ERS-SRT
16341,05:20,ERS,y,All,1,ERS-SRT
22639,08:50,ERS,y,All,2,ERS-SRT
22645,11:00,ERS,n,W,3,ERS-SRT
12511,11:00,ERS,n,"Tu,Sa,Su",3,ERS-SRT
16308,11:25,ERS,y,All,1,ERS-SRT
16345,12:35,ERS,y,All,2,ERS-SRT
13351,12:45,ERS,y,All,3,ERS-SRT
22642,15:10,ERS,n,"Tu,Th",3,ERS-SRT
16605,16:20,ERS,y,All,1,ERS-SRT
12075,17:25,ERS,y,All,1,ERS-SRT
16127,03:25,SRT,y,All,2,SRT-ERS
13352,06:24,SRT,y,All,1,SRT-ERS
16606,06:47,SRT,y,All,1,SRT-ERS
16332,07:20,SRT,n,SA,1,SRT-ERS
12076,08:34,SRT,y,All,1,SRT-ERS
22646,09:25,SRT,n,SA,1,SRT-ERS
12512,09:25,SRT,n,"TU,WE,SU",1,SRT-ERS
16346,12:50,SRT,y,All,1,SRT-ERS
22640,15:40,SRT,y,All,1,SRT-ERS
16307,16:11,SRT,y,All,1,SRT-ERS
16316,19:40,SRT,y,All,1,SRT-ERS
22641,20:15,SRT,n,"TH,SA",1,SRT-ERS
16342,20:50,SRT,y,All,1,SRT-ERS
16604,22:25,SRT,y,All,1,SRT-ERS
